index,stock
NIFTY 500,ENGINERSIN.NS
NIFTY 500,ERIS.NS
NIFTY 500,ESCORTS.NS
NIFTY 500,ETERNAL.NS
NIFTY 500,EXIDEIND.NS
NIFTY 500,NYKAA.NS
NIFTY 500,FEDERALBNK.NS
NIFTY 500,FACT.NS
NIFTY 500,FINCABLES.NS
NIFTY 500,FINPIPE.NS
NIFTY 500,FSL.NS
NIFTY 500,FIVESTAR.NS
NIFTY 500,FORTIS.NS
NIFTY 500,GAIL.NS
NIFTY 500,GVT&D.NS
NIFTY 500,GMRAIRPORT.NS
NIFTY 500,GRSE.NS
NIFTY 500,GICRE.NS
NIFTY 500,GILLETTE.NS
NIFTY 500,GLAND.NS
NIFTY 500,GLAXO.NS
NIFTY 500,GLENMARK.NS
NIFTY 500,MEDANTA.NS
NIFTY 500,GODIGIT.NS
NIFTY 500,GPIL.NS
NIFTY 500,GODFRYPHLP.NS
NIFTY 500,GODREJAGRO.NS
NIFTY 500,GODREJCP.NS
NIFTY 500,GODREJIND.NS
NIFTY 500,GODREJPROP.NS
NIFTY 500,GRANULES.NS
NIFTY 500,GRAPHITE.NS
NIFTY 500,GRASIM.NS
NIFTY 500,GRAVITA.NS
NIFTY 500,GESHIP.NS
NIFTY 500,FLUOROCHEM.NS
NIFTY 500,GUJGASLTD.NS
NIFTY 500,GMDCLTD.NS
NIFTY 500,GNFC.NS
NIFTY 500,GPPL.NS
NIFTY 500,GSPL.NS
NIFTY 500,HEG.NS
NIFTY 500,HBLENGINE.NS
NIFTY 500,HCLTECH.NS
NIFTY 500,HDFCAMC.NS
NIFTY 500,HDFCBANK.NS
NIFTY 500,HDFCLIFE.NS
NIFTY 500,HFCL.NS
NIFTY 500,HAPPSTMNDS.NS
NIFTY 500,HAVELLS.NS
NIFTY 500,HEROMOTOCO.NS
NIFTY 500,HSCL.NS
NIFTY 500,HINDALCO.NS
NIFTY 500,HAL.NS
NIFTY 500,HINDCOPPER.NS
NIFTY 500,HINDPETRO.NS
NIFTY 500,HINDUNILVR.NS
NIFTY 500,HINDZINC.NS
NIFTY 500,POWERINDIA.NS
NIFTY 500,HOMEFIRST.NS
NIFTY 500,HONASA.NS
NIFTY 500,HONAUT.NS
NIFTY 500,HUDCO.NS
NIFTY 500,HYUNDAI.NS
NIFTY 500,ICICIBANK.NS
NIFTY 500,ICICIGI.NS
NIFTY 500,ICICIPRULI.NS
NIFTY 500,IDBI.NS
NIFTY 500,IDFCFIRSTB.NS
NIFTY 500,IFCI.NS
NIFTY 500,IIFL.NS
NIFTY 500,INOXINDIA.NS
NIFTY 500,IRB.NS
NIFTY 500,IRCON.NS
NIFTY 500,ITC.NS
NIFTY 500,ITI.NS
NIFTY 500,INDGN.NS
NIFTY 500,INDIACEM.NS
NIFTY 500,INDIAMART.NS
NIFTY 500,INDIANB.NS
NIFTY 500,IEX.NS
NIFTY 500,INDHOTEL.NS
NIFTY 500,IOC.NS
NIFTY 500,IOB.NS
NIFTY 500,IRCTC.NS
NIFTY 500,IRFC.NS
NIFTY 500,IREDA.NS
NIFTY 500,IGL.NS
NIFTY 500,INDUSTOWER.NS
NIFTY 500,INDUSINDBK.NS
NIFTY 500,NAUKRI.NS
NIFTY 500,INFY.NS
NIFTY 500,INOXWIND.NS
NIFTY 500,INTELLECT.NS
NIFTY 500,INDIGO.NS
NIFTY 500,IGIL.NS
NIFTY 500,IKS.NS
NIFTY 500,IPCALAB.NS
NIFTY 500,JBCHEPHARM.NS
NIFTY 500,JKCEMENT.NS
NIFTY 500,JBMA.NS
NIFTY 500,JKTYRE.NS
NIFTY 500,JMFINANCIL.NS
NIFTY 500,JSWENERGY.NS
NIFTY 500,JSWHL.NS
NIFTY 500,JSWINFRA.NS
NIFTY 500,JSWSTEEL.NS
NIFTY 500,JPPOWER.NS
NIFTY 500,J&KBANK.NS
NIFTY 500,JINDALSAW.NS
NIFTY 500,JSL.NS
NIFTY 500,JINDALSTEL.NS
NIFTY 500,JIOFIN.NS
NIFTY 500,JUBLFOOD.NS
NIFTY 500,JUBLINGREA.NS
NIFTY 500,JUBLPHARMA.NS
NIFTY 500,JWL.NS
NIFTY 500,JUSTDIAL.NS
NIFTY 500,JYOTHYLAB.NS
NIFTY 500,JYOTICNC.NS
NIFTY 500,KPRMILL.NS
NIFTY 500,KEI.NS
NIFTY 500,KNRCON.NS
NIFTY 500,KPITTECH.NS
NIFTY 500,KAJARIACER.NS
NIFTY 500,KPIL.NS
NIFTY 500,KALYANKJIL.NS
NIFTY 500,KANSAINER.NS
NIFTY 500,KARURVYSYA.NS
NIFTY 500,KAYNES.NS
NIFTY 500,KEC.NS
NIFTY 500,KFINTECH.NS
NIFTY 500,KIRLOSBROS.NS
NIFTY 500,KIRLOSENG.NS
NIFTY 500,KOTAKBANK.NS
NIFTY 500,KIMS.NS
NIFTY 500,LTF.NS
NIFTY 500,LTTS.NS
NIFTY 500,LICHSGFIN.NS
NIFTY 500,LTFOODS.NS
NIFTY 500,LTIM.NS
NIFTY 500,LT.NS
NIFTY 500,LATENTVIEW.NS
NIFTY 500,LAURUSLABS.NS
NIFTY 500,LEMONTREE.NS
NIFTY 500,LICI.NS
NIFTY 500,LINDEINDIA.NS
NIFTY 500,LLOYDSME.NS
NIFTY 500,LUPIN.NS
NIFTY 500,MMTC.NS
NIFTY 500,MRF.NS
